log_schema,trade_id,entry_time,exit_time,symbol,timeframe,side,entry_px,exit_px,profit,exit_type,bars_held,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,rsi_depth,bb_walk_count,wick_pct,ema_slope_bp,atr_ratio,bb_pen_pts,htf_slope_bp,mae_r,mfe_r,mae_r_b4,mfe_r_b4,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,sl_pts,label_bad_entry,label_tail_loss,label_early_cut_b4,label_early_cut_b6,label_early_cut,label_regime,label_profile_good,label_profile_bad,label_bad_trade,label_loss,label_sl
2,102,2023-07-05 06:10:00,2023.07.05 06:35:00,EURUSD,M5,buy,1.08693,1.08764,0.71,midline,4,23.06,0.000866,2.901,1,6,3,1.94,2,25.0,-1.51,0.000132,24.3,-3.57,0.07,0.365,0.07,0.365,,,,,200.0,0,0,0,0,0,range,1,0,0,0,0
2,104,2023-07-06 05:05:00,2023.07.06 05:55:00,EURUSD,M5,buy,1.08358,1.08411,0.53,midline,9,21.67,0.001445,1.702,1,5,4,3.33,1,0.0,-2.12,0.000179,12.7,-6.07,0.105,0.275,0.09,0.07,0.105,0.07,0.105,0.105,200.0,0,0,0,0,0,trend,1,1,0,0,0
2,106,2023-07-11 18:05:00,2023.07.11 19:15:00,EURUSD,M5,sell,1.10052,1.10036,0.16,midline,13,78.03,0.001432,1.848,6,18,2,3.03,4,0.0,3.0,0.000247,27.5,3.64,0.2,0.1,0.2,0.075,0.2,0.075,0.2,0.075,200.0,0,0,0,0,0,chop,1,1,0,0,0
2,108,2023-07-12 01:30:00,2023.07.12 04:05:00,EURUSD,M5,sell,1.10199,1.10278,-0.79,midline,30,82.04,0.000704,2.238,1,1,3,7.04,1,4.0,1.48,0.000141,27.1,5.35,0.68,0.155,0.085,0.155,0.085,0.155,0.16,0.155,200.0,1,0,0,0,0,range,1,0,1,1,0
2,110,2023-07-14 07:00:00,2023.07.14 08:50:00,EURUSD,M5,buy,1.12199,1.12127,-0.72,midline,21,24.61,0.001434,3.002,6,6,5,0.39,2,13.33,-2.88,0.000254,47.0,15.17,0.78,0.29,0.13,0.29,0.25,0.29,0.25,0.29,200.0,1,1,0,0,0,trend,1,0,1,1,0
2,112,2023-07-19 07:00:00,2023.07.19 07:05:00,EURUSD,M5,sell,1.12355,1.12221,1.34,midline,0,76.54,0.001287,3.175,1,6,3,1.54,1,7.25,2.42,0.000202,28.3,-0.53,0.005,0.925,,,,,,,200.0,0,0,0,0,0,range,1,0,0,0,0
2,114,2023-07-20 01:30:00,2023.07.20 01:55:00,EURUSD,M5,sell,1.12089,1.12198,-1.09,e8c,4,75.21,0.000647,2.5,1,1,4,0.21,2,23.81,1.51,0.000123,7.2,-2.73,0.52,0.045,0.52,0.045,,,,,200.0,1,0,1,0,1,range,1,0,1,1,0
2,116,2023-07-20 01:55:00,2023.07.20 03:45:00,EURUSD,M5,sell,1.12197,1.12233,-0.36,midline,21,85.45,0.001534,4.322,1,1,4,10.45,1,5.63,3.32,0.000169,29.6,-2.35,0.465,0.205,0.085,0.205,0.17,0.205,0.275,0.205,200.0,0,0,0,0,0,range,1,0,0,1,0
2,118,2023-07-26 07:00:00,2023.07.26 08:05:00,EURUSD,M5,sell,1.10622,1.10668,-0.46,midline,12,80.54,0.001422,1.88,3,6,3,5.54,1,12.77,3.17,0.000182,18.1,-4.14,0.45,0.27,0.36,0.27,0.43,0.27,0.45,0.27,200.0,0,0,0,0,0,range,1,0,0,1,0
2,120,2023-08-01 22:45:00,2023.08.01 22:53:39,EURUSD,M5,sell,1.0995,1.10153,-2.03,sl,0,76.79,0.001392,1.512,32,22,2,1.79,4,2.22,3.13,0.000282,40.3,-2.92,0.09,0.03,,,,,,,200.0,1,1,0,0,0,chop,0,1,1,1,1
2,122,2023-08-03 05:45:00,2023.08.03 06:25:00,EURUSD,M5,buy,1.09234,1.09286,0.52,midline,7,22.75,0.000945,2.16,1,5,4,2.25,2,0.0,-2.0,0.000187,41.1,-6.4,0.21,0.29,0.21,0.09,0.21,0.09,0.21,0.165,200.0,0,0,0,0,0,trend,1,1,0,0,0
2,124,2023-08-07 06:55:00,2023.08.07 08:05:00,EURUSD,M5,buy,1.09852,1.0977,-0.82,midline,13,22.91,0.001282,1.891,5,6,1,2.09,4,26.09,-2.76,0.0002,3.0,3.18,0.72,0.065,0.325,0.065,0.38,0.065,0.505,0.065,200.0,1,0,0,1,1,range,1,0,1,1,0
2,126,2023-08-08 01:35:00,2023.08.08 03:30:00,EURUSD,M5,buy,1.09942,1.09844,-0.98,midline,22,21.87,0.001154,2.044,1,1,2,3.13,6,41.94,-2.28,0.000157,11.3,2.52,0.87,0.025,0.24,0.025,0.295,0.025,0.305,0.025,200.0,1,1,0,0,0,range,1,0,1,1,0
2,128,2023-08-09 06:10:00,2023.08.09 07:15:00,EURUSD,M5,sell,1.09784,1.09738,0.46,midline,12,76.57,0.001048,6.127,1,6,3,1.57,2,6.1,1.39,0.000179,52.3,-0.42,0.05,0.3,0.01,0.195,0.01,0.225,0.01,0.235,200.0,0,0,0,0,0,range,1,0,0,0,0
2,130,2023-08-10 01:35:00,2023.08.10 01:55:00,EURUSD,M5,buy,1.09678,1.09735,0.57,midline,3,20.66,0.001039,1.818,1,1,4,4.34,7,0.0,-2.16,0.000119,13.4,0.01,0.025,0.305,,,,,,,200.0,0,0,0,0,0,chop,1,1,0,0,0
2,132,2023-08-11 02:55:00,2023.08.11 03:25:00,EURUSD,M5,sell,1.09961,1.09896,0.65,midline,5,76.9,0.001082,3.225,1,2,5,1.9,2,54.29,1.77,0.000233,16.1,-0.64,0.015,0.345,0.015,0.27,0.015,0.345,,,200.0,0,0,0,0,0,range,1,0,0,0,0
2,134,2023-08-16 07:30:00,2023.08.16 08:05:00,EURUSD,M5,sell,1.09272,1.09243,0.29,midline,6,75.25,0.001177,2.938,5,7,3,0.25,2,0.0,1.99,0.000306,53.2,-1.76,0.0,0.52,0.0,0.405,0.0,0.455,0.0,0.52,200.0,0,0,0,0,0,range,1,0,0,0,0
2,136,2023-08-17 01:20:00,2023.08.17 03:05:00,EURUSD,M5,buy,1.08668,1.08688,0.2,midline,20,21.78,0.001423,2.605,1,1,4,3.22,4,16.22,-2.89,0.000173,16.3,-6.4,0.27,0.235,0.01,0.235,0.01,0.235,0.01,0.235,200.0,0,0,0,0,0,trend,1,1,0,0,0
